Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
,,,3328,BENDITSON A,,,,,,,,,,,1,,1
,,KIN PE 43D,2487,BENDITSON A,11,,,,,,,,,,,,11
,,,2489,PIERCE T L,5,,,,,,,,,,1,,6
,,,2490,BENDITSON A,1,,,,,,,,,,,,1

,,,3329,BENDITSON A,1,,,,,,,,,,,,1
,,KIN PE 48A,2491,CASCINO N V,5,2,,,,,,1,,,2,,10
,,,2492,CASCINO N V,8,2,,,,2,,,,,4,,16
,,KIN PE 48B,2493,BULLOCK J A,3,,,,,,,,,,,,3
,,,2494,KING R L,6,,,,,,,,,,,,6
,,,2495,CASCINO N V,5,3,,,,,1,,,,,,9
,,KIN PE 48C,2496,SHIMA T H,11,,,,,,,,,,2,,13
,,,2498,KING R L,11,,,,,,,,,,,,11
,,KIN PE 48D,2499,SHIMA T H,4,,,,,,,,,,,,4
,,KIN PE 49A,2501,KING R L,7,,,,,,,,,,1,,8
,,KIN PE 50A,2502,ESKRIDGE B M,7,,,,,,,,,,1,,8
,,KIN PE 50C,2503,ESKRIDGE B M,9,,,,,,,,,,,,9
,,KIN PE 51A,3406,CASCINO N V,9,,,,,1,,1,,,1,,12
,,KIN PE 51B,2504,KING R L,14,,,,,,,,,,3,,17
,,KIN PE 52A,2505,SHICKMAN T D,6,,,,,1,,,,,,,7
,,KIN PE 53A,2506,LIVSHIN B S,6,,1,,,,,,,,,,7
,,KIN PE 53B,2507,LIVSHIN B S,3,,,,2,,,,,,,,5
,,KIN PE 54A,2508,MOLSING J P,7,1,1,,,,,,,,1,,10
,,KIN PE 54B,2509,MOLSING J P,1,1,,1,,2,,1,,,1,,7
,,KIN PE 54C,2510,MOLSING J P,4,1,,,,,,,,,3,,8
,,KIN PE 54D,2511,MOLSING J P,2,,,,,,,,,,1,,3
,,KIN PE 57B,3420,CAMMAYO C,6,,,,,,,,,,1,,7
,,KIN PE 57C,3422,CAMMAYO C,2,,,,,,,,,,,,2
,,KIN PE 58A,2517,BENNETT J L,5,3,2,,,1,,,,,3,,14
,,,2518,HUNER K A,7,1,1,1,,2,,,,,3,,15
,,,2519,BENNETT J L,8,2,,,,,,,,,1,,11
,,,2520,HUNER K A,12,2,,,,,,,,,5,,19
,,,2521,QUALEY K N,12,,,1,4,,,,,,1,,18
,,,2522,CHAVEZ E C,6,,,,,,,,,,3,,9
,,,2523,HOTSINPILLER S S,6,2,,,8,,1,,,,5,,22
,,KIN PE 58B,2524,HUNER K A,5,1,,,,,,,,,2,,8
,,,2526,CHAVEZ E C,2,,,,,,,,,,,,2
,,,2527,BENNETT J L,,1,,,1,1,,,,,3,,6
,,,3271,BENNETT J L,5,1,1,,,,,,,,,,7

,,KIN PE 58C,2530,BENNETT J L,1,,,,,,,,,,1,,2
,,KIN PE 59A,2531,PIERCE T L,13,,,,,,,,,,1,,14
,,KIN PE 59B,2532,PIERCE T L,10,,,,,,,,,,,,10
,,KIN PE 88A,2533,ROQUE E M,3,,,,,,,,,,,,3
,,,2534,ROQUE E M,1,,,,,,,,,,,,1
,PRO CR,PRO CR  7,3074,PIERCE T L,11,6,1,,3,,,,,,3,,24
,,PRO CR 10,3075,THOMAS J L,9,2,2,1,4,,,,,,3,,21
,,,3076,THOMAS J L,13,3,1,,3,,,,,,2,,22
,,PRO CR 11,4257,BECKMAN M,4,4,1,,2,,,,,,2,,13
,,PRO CR 12,3077,SHIMA T H,4,,,,,1,,,,,4,,9
,,PRO CR 15,3078,LEDWITH K F,7,3,1,,7,,,,,,1,,19
,,PRO CR 19,3079,THOMAS J L,8,,1,,,,,,,,1,,10
,,PRO CR 25,3080,METZLER K A,8,1,,,1,,,1,,,1,,12
,,PRO CR 80,3081,LEDWITH K F,22,3,5,1,4,,,,,,2,,37
Library,LIBR,LIBR    1,2539,ANTRIM B S,13,5,1,2,3,,,,,,2,,26
,,,2542,ANTRIM B S,13,6,3,2,3,,,,,,2,,29
,,,3300,BAUTISTA C,14,,3,,4,,,,,,1,,22
Life Sciences,ANATMY,ANATMY  1,1110,HUTCHINSON S C,1,2,2,2,,,,,,,14,,21
,,,1111,GRANT C,2,2,1,,,,1,1,,,23,,30
,,,1113,NGO-HAZELETT P,2,,2,2,9,,,,,,9,,24
,,,1114,WILLIAMS R R,3,10,8,,2,,1,,,,10,,34
,,,1115,OLSEN B D,,1,1,,4,,1,,,,12,,19
,,,1116,BUTTERWORTH P R,1,5,4,,2,,,,,,11,,23
,,,1117,HUTCHINSON S C,4,7,2,1,2,,,,,,6,,22
,,,1118,WISSMANN P B,2,2,2,2,3,,,,,,10,,21
,,,1119,ELLIS C L,4,3,2,,1,,,,,,11,,21
,,,1121,PHAM D,1,8,5,3,,,,,,,13,,30
,,,3345,YOUSEF N M,10,3,5,1,1,1,,,,,10,,31
,,,3369,YOUSEF N M,1,3,6,3,7,,2,,,,8,1,31
,,,4005,PERKINS K K,10,6,3,1,,,,,,,10,,30
,,,4006,FICKBOHM D J,17,4,4,,,,,,,,1,,26
,,,4007,FICKBOHM D J,9,2,6,3,,,,,,,5,,25
,,,4008,LE M K,5,4,3,1,1,,1,,,,11,,26
,,,4290,PHAM D,2,2,1,1,5,,,,,,14,,25

,,,4301,PERKINS K K,5,8,4,1,2,,,,,,5,,25
,,ANATMY  2,1123,GRANT C,1,3,,1,,,,,,,1,2,8
,BIOL,BIOL    2,1262,COURTNEY A,17,9,1,1,1,,1,,,,1,,31
,,,1263,JOHNSON K,11,12,5,3,7,,,,,,6,2,46
,,,1264,CHEN T T,7,7,4,2,2,1,,,,,5,,28
,,,1265,BOBER M A,1,6,15,,2,1,2,,,,11,,38
,,,1266,CHEN T T,4,7,6,3,3,,,,,,6,,29
,,,1267,BOBER M A,5,7,6,5,4,,,,,,11,,38
,,,3426,BOBER M A,1,4,14,4,,2,,,,,7,,32
,,BIOL    3,1268,KIM-RAJAB O S,3,7,6,,,,,,,,9,,25
,,,1269,NICHOLS L B,6,8,6,,,1,,,,,6,,27
,,,1270,VON DER OHE C G,20,7,2,2,,1,,,,,,,32
,,,1271,FENNOY S L,1,8,10,,5,,,,,,4,,28
,,,1272,FENNOY S L,6,5,7,,1,,,,,,5,,24
,,,1273,JAYACHANDRAN S,12,10,1,1,1,,,,,,4,1,30
,,,1274,DENMON A P,2,4,3,2,5,,,,,,8,,24
,,,1276,COURTNEY A,23,3,,,1,,,,,,1,,28
,,,1277,KIM-RAJAB O S,1,9,4,3,,,,,,,8,,25
,,,1278,RAYMER P C,20,6,2,1,2,,1,,,,2,,34
,,,1279,BERBEO A E,19,8,2,,,,1,1,,,,,31
,,,1280,JORDAN E A,4,5,9,,1,,,,,,7,,26
,,,1281,JORDAN E A,5,8,5,,2,,,,,,7,,27
,,,1282,LEE S I,8,8,8,3,,,,1,,,1,,29
,,,1283,WENGELER W R,6,8,1,1,3,1,1,,,,7,,28
,,,1284,KIM-RAJAB O S,2,7,3,4,,1,,,,,8,,25
,,,3389,NICHOLS L B,3,5,5,2,,3,,,,,8,1,27
,,,4028,CHEN T T,1,4,,1,1,,,,,,1,1,9
,,,4029,KAY B W,2,6,1,1,1,,1,,,,5,,17
,,,4030,CHEN T T,4,3,4,,,,,,,,3,,14
,,BIOL    9,1285,DAVIS H A,27,4,8,,,,,,,,3,,42
,,,1286,MEYER A E,7,1,2,,1,,,,,,3,,14
,,,1287,SAKURAI D S,3,8,11,2,,,1,,,,3,,28
,,,1288,SAKURAI D S,2,4,3,,1,,,,,,3,,13
,,BIOL   10,1289,RAYMER P C,6,6,4,1,1,,,,,,4,,22

,,,1290,RAYMER P C,7,3,5,2,1,,,,,,1,,19
,,BIOL   15,1291,BAGHDASARIAN G,3,5,6,,3,2,,,,,6,,25
,,,1292,BAGHDASARIAN G,7,5,5,2,2,,,,,,3,,24
,,,1293,BAGHDASARIAN G,6,4,5,2,3,,1,,,,5,,26
,,BIOL   15N,1294,WALL C B,10,8,2,2,,,1,,,,3,,26
,,BIOL   21,1296,SCURIC Z,4,3,7,1,1,1,,,,,2,,19
,,,1297,SCURIC Z,2,7,2,1,,1,,,,,6,1,20
,,,1298,VAGIN O,8,12,3,,2,,,,,,8,,33
,,BIOL   22,1299,BOBER M A,4,5,2,3,1,,,,,,11,,26
,,,1300,LEE S I,19,13,2,,,,1,,,,,,35
,,BIOL   23,1302,NICHOLS L B,4,12,9,,,1,,,,,6,,32
,,,1303,NICHOLS L B,7,7,8,,,1,,,,,2,,25
,,BIOL   88A,3481,TOWER J A,2,,,,,,,,,,,,2
,,BIOL   88B,3483,TOWER J A,,,,,,1,,,,,,,1
,BOTANY,BOTANY  1,1304,DAVIS H A,18,6,,,1,2,,,,,,,27
,,,1305,HAGHIGHAT M,13,8,3,1,1,1,,,,,2,,29
,MCRBIO,MCRBIO  1,2739,NAREY V,6,7,6,,,,,,,,4,,23
,,,2740,NAREY V,8,4,4,,,,,,,,2,,18
,,,2742,KANJANAPANGKA J,5,4,4,1,,,,,,,4,,18
,,,2743,GUPTA R K,15,5,,,,,,,,,,,20
,,,3381,YATES D C,8,14,,1,,,,,,,,,23
,,,3391,KLUCKHOHN JONES,11,6,2,1,,,,,,,3,,23
,,,4204,PEPPER E D,15,5,3,,,,,,,,1,,24
,NUTR,NUTR    1,2903,RICHWINE D R,7,10,10,,2,1,,,,,15,,45
,,,2904,RICHWINE D R,9,11,3,5,2,,,,,,2,,32
,,,2905,GONZALEZ C L,3,10,6,1,,,,,,,15,,35
,,,2906,GONZALEZ C L,10,9,4,1,4,,,,,,7,,35
,,,2907,GONZALEZ C L,5,9,5,1,3,,1,,,,7,,31
,,,2908,GONZALEZ C L,8,5,2,2,1,,,,,,17,,35
,,,2910,GONZALEZ C L,6,6,8,,2,,,,,,6,1,29
,,,2912,NOVAK D S,15,12,4,1,2,,1,,,,3,,38
,,,2913,NOVAK D S,14,7,5,,1,,,,,,4,,31
,,,2914,RICHWINE D R,8,15,6,1,,2,,,,,4,,36
,,,3470,MERCER J E,4,3,2,5,3,,1,,,,5,,23

,,NUTR    3,2915,MERCER J E,10,1,,2,8,,,,,,6,,27
,,NUTR    4,2916,NOVAK D S,9,8,3,1,2,,,,,,5,,28
,,NUTR    7,2917,ABICH M L,20,8,2,2,7,,,,,,2,,41
,,,2918,ORTEGA Y,25,9,1,,,,,,,,3,,38
,,,2919,ORTEGA Y,14,6,7,,2,,,,,,6,,35
,PHYS,PHYS    3,3002,WISSMANN P B,7,3,,,1,,,,,,3,,14
,,,3003,JOHNSON JA J,1,5,8,2,1,,,,,,6,,23
,,,3004,GRANT C,6,9,3,3,,,,,,,1,,22
,,,3005,VON DER OHE C G,9,10,2,1,1,,,,,,2,,25
,,,3006,VON DER OHE C G,11,9,1,2,,,,,,,1,,24
,,,3007,ELLIS C L,2,1,4,2,,,,,,,11,1,21
,,,3008,ELLIS C L,4,5,4,1,2,,1,,,,10,,27
,,,3009,PHAM D,4,3,3,1,3,1,1,,,,5,1,22
,,,4245,ULRICH B N,9,2,5,1,,,,,,,3,,20
,ZOOL,ZOOL    5,3261,FOX C H,8,9,,,,1,,,,,3,,21
,,,3263,JOHNSON K,6,14,2,,,,1,,,,,,23
,,,4289,PATEL A,6,6,2,,4,1,,,,,5,,24
Mathematics,MATH,MATH    1,2549,ROSS K R,,,,,,10,1,,,,8,,19
,,,2550,PHUNG Q T,,,,,,8,4,,,,7,,19
,,,2551,BENE A J,,,,,,14,9,,,,7,,30
,,,2552,OUELLETTE K R,,,,,,11,2,,,,6,,19
,,,2553,LAN H,,,,,,16,2,,,,4,,22
,,,2554,MUSSELMAN M J,,,,,,16,,,,,3,,19
,,,2555,MIANO I A,,,,,,10,11,,,,2,,23
,,MATH   1B,2615,ROSS K R,,,,,,2,1,,,,2,,5
,,,2616,PHUNG Q T,,,,,,2,,,,,,,2
,,,2617,BENE A J,,,,,,1,1,,,,1,,3
,,,2618,OUELLETTE K R,,,,,,2,1,,,,,,3
,,,2619,LAN H,,,,,,,1,,,,1,,2
,,,2620,MUSSELMAN M J,,,,,,8,2,,,,2,,12
,,,2621,MIANO I A,,,,,,4,2,,,,2,,8
,,MATH   1C,2624,ROSS K R,,,,,,2,1,,,,,,3
,,,2625,PHUNG Q T,,,,,,,1,,,,,,1
,,,2627,OUELLETTE K R,,,,,,1,,,,,,,1

,,,2629,MUSSELMAN M J,,,,,,1,1,,,,,,2
,,,2630,MIANO I A,,,,,,2,1,,,,,,3
,,MATH    2,2557,LEE P H,2,1,3,,5,,,,,,13,,24
,,,2558,BOOSHERI S G,4,4,6,3,2,,3,,,,9,,31
,,,2559,PHUNG Q T,,5,4,4,2,,1,,,,13,,29
,,,2561,MIANO I A,9,6,5,2,6,1,,,,,8,,37
,,,2562,SOLEYMANI S,4,3,3,5,6,1,1,,,,14,,37
,,,2563,HERICHI H,4,4,1,2,11,5,2,,,,4,,33
,,,2564,HARJUNO T,1,1,3,1,6,,,,,,10,,22
,,,2565,LEE P H,1,2,,,5,,,,,,11,,19
,,,2566,QUEVEDO J M,3,3,,6,3,,1,,,,21,,37
,,,2567,GRAVES L P,3,2,1,1,1,,,,,,9,,17
,,,2568,LUI-MARTINEZ KR D,7,4,2,,4,,1,,,,8,,26
,,,2569,BOOSHERI S G,2,4,4,2,5,,,,,,9,,26
,,,2570,EMERSON A J,2,1,1,3,,,1,,,,19,,27
,,,2571,SMITH S P,2,,5,2,7,,1,,,,13,1,31
,,,2572,CHAN H J,7,5,3,3,1,1,1,,,,10,,31
,,,2573,QUEVEDO J M,1,2,1,4,3,1,,,,,17,,29
,,,2574,PHUA N,1,2,4,1,4,,,,,,15,,27
,,,4151,NESTLER A E,,,1,,3,,,,,,16,1,21
,,,4152,RAMSEY E D,8,6,5,,2,,3,,,,10,,34
,,,4153,MAN S,8,2,10,3,2,1,2,,,,9,,37
,,,4155,SARKSSIAN H,2,1,,1,4,1,1,,,,13,,23
,,,4156,LIAO G,16,3,2,,3,1,1,,,,1,,27
,,,4296,KARKAFI R H,6,4,1,,9,1,,,,,12,,33
,,MATH   2C,2655,LEE P H,,,,,,6,5,,,,13,,24
,,,2656,MIANO I A,,,,,,21,8,,,,8,,37
,,,2657,SOLEYMANI S,,,,,,11,12,,,,14,,37
,,,2658,HERICHI H,,,,,,14,15,,,,4,,33
,,,2659,LEE P H,,,,,,3,5,,,,11,,19
,,,2660,QUEVEDO J M,,,,,,6,10,,,,21,,37
,,,2661,BOOSHERI S G,,,,,,10,7,,,,9,,26
,,,2662,EMERSON A J,,,,,,4,4,,,,19,,27
,,,2663,BOOSHERI S G,,,,,,14,8,,,,9,,31

,,,4177,CHAN H J,,,,,,16,5,,,,10,,31
,,,4178,NESTLER A E,,,,,,1,3,,,,16,1,21
,,,4297,KARKAFI R H,,,,,,12,9,,,,12,,33
,,MATH    3,2575,JIMENEZ B S,3,4,6,1,2,,,,,,9,,25
,,,2577,HONG A M,,,1,,4,,,,,,16,,21
,,,2578,LOPEZ J E,3,4,5,2,7,,,,,,13,,34
,,,2579,OUELLETTE K R,3,5,1,2,1,1,1,,,,11,,25
,,MATH   3C,2667,JIMENEZ B S,,,,,,13,3,,,,9,,25
,,,2668,HONG A M,,,,,,1,4,,,,16,,21
,,,2669,LOPEZ J E,,,,,,12,9,,,,13,,34
,,MATH    4,2580,JAHANGARD E,1,2,3,1,2,,,,,,20,,29
,,,2581,LUI-MARTINEZ KR D,6,1,3,,5,,1,,,,17,,33
,,,2582,WONG B L,,2,,4,,,,,,,5,,11
,,,2583,ENGLAND A M,,3,5,1,9,,1,,,,12,,31
,,,2584,PHUNG Q T,2,2,,,5,,2,,,,5,,16
,,,4158,KIM J J,2,3,3,,6,1,,,,,12,1,28
,,MATH   4C,2670,JAHANGARD E,,,,,,6,3,,,,20,,29
,,,2671,LUI-MARTINEZ KR D,,,,,,10,6,,,,17,,33
,,,2672,ENGLAND A M,,,,,,8,11,,,,12,,31
,,,4181,KIM J J,,,,,,9,6,,,,12,1,28
,,MATH    7,2585,RODAS B G,8,3,2,,3,,,,,,5,,21
,,,2586,KONYA W,,1,1,,1,,,,,,5,,8
,,,2587,DOKOS P,8,10,5,8,,,2,,,,9,,42
,,,2588,GROLLMUS D P,2,5,1,4,5,,1,,,,20,,38
,,,2589,HANCOCK M D,9,10,4,3,6,,1,,,,10,,43
,,,2590,MANOOKIAN N,19,8,2,2,5,,1,,,,6,,43
,,,2591,GROLLMUS D P,5,4,3,3,7,,3,,,,13,,38
,,,2592,WANG J D,3,4,2,3,4,,,,,,8,,24
,,,2593,SMITH S P,3,5,5,2,4,,1,,,,10,,30
,,,2594,MARDIROSIAN R,12,4,5,1,3,,2,,,,5,,32
,,,4159,SARKSSIAN H,3,1,2,1,5,,3,,,,14,,29
,,,4160,KIM SU,11,7,8,2,,1,3,,,,12,,44
,,,4161,CARTY B,10,3,2,,6,,2,,,,14,,37
,,,4300,NESTLER A E,,,1,,8,,,,,,17,,26

,,MATH    8,2595,HONG A M,,,,7,5,1,1,,,,16,,30
,,,2596,DOKOS P,14,9,7,2,,,1,1,,,4,1,39
,,,2597,KONYA W,1,1,,1,,,,,,,5,,8
,,,2599,LAI I,8,8,6,2,3,,4,2,,,11,1,45
,,,2600,WANG J D,9,2,5,1,3,,,,,,8,,28
,,,2601,KAMIN G,6,2,4,2,7,,,,,,11,,32
,,,2602,SOLEYMANI S,10,6,5,6,6,,2,,,,10,,45
,,,4162,LIN B,17,14,4,,1,,1,,,,6,,43
,,,4163,KIM SU,8,9,7,1,3,,1,,,,14,,43
,,,4164,ASKARIAN S N,7,7,1,4,1,,1,,,,8,,29
,,MATH   10,2603,JAHANGARD E,1,9,4,1,6,,,,,,7,,28
,,,3370,CARLSON K D,8,2,6,1,3,2,,,,,11,,33
,,MATH   11,2604,HERICHI H,6,4,4,2,5,,,,,,10,,31
,,,2605,LAI I,9,4,9,3,2,2,2,1,,,11,,43
,,,2606,PACHAS-FLORES W,3,,,1,3,,,,,,12,,19
,,,3287,HONG A M,,,1,2,1,1,1,,,,7,1,14
,,MATH   13,2607,OUELLETTE K R,5,8,8,4,3,,2,,,,3,,33
,,,2608,LIN B,25,12,,,1,2,,,,,1,,41
,,,2609,HERICHI H,4,5,3,1,3,,1,,,,11,1,29
,,,4166,ASKARIAN S N,4,5,4,,1,,,,,,10,,24
,,MATH   15,2610,KONYA W,1,2,2,1,1,,1,,,,1,,9
,,,2611,NESTLER A E,2,3,3,5,2,,2,,,,12,1,30
,,MATH   18,2613,JIANG J,8,7,2,,3,,,,,,6,1,27
,,MATH   20,2632,SIMHAN S V,3,4,6,1,3,,2,,,,18,,37
,,,2633,SOURY S,2,,4,,4,,,,,,5,,15
,,,4168,MAKNOUNI M,2,4,3,1,2,,1,,,,4,,17
,,,4169,WONG J D,6,1,3,3,,1,,,,,6,,20
,,,4170,SOURY S,1,2,2,1,7,,1,,,,8,,22
,,,4171,JIANG J,16,8,6,1,3,,1,,,,6,,41
,,,4172,CHITGAR M H,4,4,5,,2,1,,,,,14,,30
,,MATH   21,2634,CHO M,6,,2,,6,,,,,,6,,20
,,,2635,EMERSON A J,3,5,1,1,2,1,1,,,,8,,22
,,,2636,ENGLAND A M,3,5,,3,10,1,,,,,7,,29
,,,2637,ROSS K R,11,9,4,2,,,,,,,3,,29

,,,2638,SIMO A L,5,3,5,,5,,,,,,18,,36
,,,2639,KONYA W,1,2,1,1,5,,1,,,,11,,22
,,,2640,MAKNOUNI M,5,3,8,2,1,1,,2,,,8,,30
,,,2641,KIM J J,1,4,5,,1,,,,,,7,,18
,,,2642,MUSSELMAN M J,14,8,,,2,,,,,,7,,31
,,,4173,SIMO A L,3,3,5,2,2,1,,,,,5,,21
,,,4174,MAN S,2,3,,3,1,,1,,,,3,1,14
,,MATH   21C,2643,EMERSON A J,,,,,,10,4,,,,8,,22
,,,2644,ENGLAND A M,,,,,,9,13,,,,7,,29
,,,2645,ROSS K R,,,,,,24,2,,,,3,,29
,,,2646,SIMO A L,,,,,,13,5,,,,18,,36
,,,2647,KONYA W,,,,,,4,7,,,,11,,22
,,,4175,MUSSELMAN M J,,,,,,22,2,,,,7,,31
,,MATH   26,2649,LOPEZ J E,6,2,5,4,4,,,,,,12,,33
,,,2650,QUEVEDO J M,3,6,2,2,1,,,,,,6,,20
,,,4176,CHITGAR M H,6,3,10,1,1,1,,,,,8,,30
,,MATH   26C,2651,LOPEZ J E,,,,,,13,8,,,,12,,33
,,MATH   28,2652,KAMIN G,3,9,4,2,2,1,5,,,,12,,38
,,,2653,LUI-MARTINEZ KR D,18,8,5,,8,,1,,,,5,,45
,,MATH   29,2654,RODAS B G,2,3,1,,,1,,,,,1,1,9
,,MATH   31,2664,CHO M,3,1,,,10,,,,,,5,,19
,,,2665,BRONIE B L,3,,7,6,1,1,,,,,4,,22
,,MATH   32,2666,MIANO I A,13,5,3,2,4,,,,,,2,,29
,,,4179,TRAN C D,6,2,,3,3,,1,,,,1,,16
,,MATH   41,4180,PEREZ-FERNANDEZ L,2,3,4,,1,,1,,,,7,,18
,,MATH   50,2673,MUSSELMAN M J,16,9,6,1,,,,,,,6,,38
,,,2674,ROSS K R,3,4,4,1,2,1,,,,,9,,24
,,,2675,CHENG T T,5,2,2,1,5,1,,,,,10,,26
,,MATH   54,2676,EDINGER G C,6,3,3,2,6,,,,,,6,,26
,,,2677,CHAU E,1,1,4,1,4,,1,,,,15,,27
,,,2678,GRAVES L P,2,6,3,1,2,,,,,,6,1,21
,,,2679,ASADYAN A,12,10,8,4,2,1,,,,,6,,43
,,,2680,TU W,2,,,4,3,,,,,,15,,24
,,,2681,YANKEY K A,1,5,8,5,,,,4,,,11,1,35

,,,2682,MCGRAW C K,2,2,4,4,5,,1,1,,,8,,27
,,,2683,VENDLINSKI T P,7,2,2,4,5,,,,,,4,,24
,,,2684,GHARAMANIANS J,2,,8,3,10,,,,,,9,,32
,,,2685,ASADYAN A,5,6,7,3,1,,1,,,,8,,31
,,,2686,EDINGER G C,3,6,3,3,5,,,,,,10,,30
,,,2687,XIE M C,6,7,4,1,7,,,,,,14,,39
,,,2688,PHUA N,1,1,3,1,9,,,,,,16,,31
,,,2689,VENDLINSKI T P,5,3,3,5,11,,,,,,6,,33
,,,2690,BAYSSA B T,4,2,5,5,6,1,,,,,9,,32
,,,2691,TU W,,1,1,1,2,,2,,,,19,,26
,,,2692,GHARAMANIANS J,3,2,5,5,3,,,1,,,20,,39
,,,2693,RAHMANI S,21,8,3,,8,,,,,,2,,42
,,,2694,FOREMAN N J,1,6,5,2,5,,,,,,13,,32
,,,2695,HANCOCK M D,6,5,3,1,9,1,,,,,7,,32
,,,2696,BASKAUSKAS V A,2,4,4,,4,,,,,,5,,19
,,,2697,HUANG C Y,11,5,5,,5,,1,,,,7,,34
,,,2698,SOLEYMANI S,5,8,3,8,7,,1,,,,7,,39
,,,2699,SIMO A L,8,6,1,,9,1,,,,,10,,35
,,,2700,DABAGH SA M,9,6,3,3,8,,,2,,,12,1,44
,,,2701,RAHMANI S,14,7,6,1,2,,,,,,7,,37
,,,2702,DEAN C R,7,4,8,2,5,1,1,,,,6,,34
,,,2703,DABAGH SA M,6,9,7,4,6,,,,,,5,,37
,,,2704,BASKAUSKAS V A,12,4,7,1,5,,,,,,8,,37
,,,2705,SIMO A L,1,2,3,,6,,,,,,12,,24
,,,2706,MARTINEZ M G,12,5,2,,,1,,,,,4,,24
,,,2707,HE F Y,16,6,2,2,1,,,,,,13,,40
,,,2708,GIZAW A,4,1,5,,6,,2,,,,11,,29
,,,2709,LOPEZ MA,2,4,2,2,6,,2,,,,7,,25
,,,2710,HUANG C Y,18,10,4,,3,,,,,,6,,41
,,,2712,JAHANGARD E,,1,4,1,8,,,,,,7,,21
,,,2713,NGUYEN D T,3,2,,1,5,,2,,,,16,,29
,,,2714,EDINGER G C,9,11,5,1,2,,1,,,,4,,33
,,,2715,HANCOCK M D,6,1,7,1,7,,,,,,14,,36
,,,2716,PHUA N,2,3,2,2,5,,,,,,16,,30

,,,2717,LOPEZ MA,1,,3,2,5,,2,,,,14,,27
,,,2718,FORBES J,6,4,6,,9,1,5,,,,15,1,47
,,,2719,FORBES J,13,9,6,2,4,1,,,,,12,,47
,,,2720,NGUYEN D T,1,4,2,,11,,,,,,13,,31
,,,3477,PHUA N,,1,5,,6,,1,,,,13,,26
,,,3511,NGUYEN D T,2,4,4,,4,1,,,,,17,,32
,,,4182,PACHAS-FLORES W,1,2,1,,8,,,,,,9,,21
,,,4183,SASO M,2,1,2,2,4,,,,,,7,,18
,,,4184,MARTINEZ M G,8,4,1,2,,,2,,,,7,,24
,,,4185,PEREZ R E,22,5,,,3,1,,,,,1,,32
,,,4186,ESMAEILI AK,13,5,8,8,4,,,,,,2,,40
,,,4187,PACHAS-FLORES W,4,2,2,1,4,1,1,,,,13,,28
,,,4188,ESMAEILI AK,6,2,8,6,3,,,,,,4,,29
,,,4189,HE F Y,1,4,6,1,1,1,,,,,11,1,26
,,,4190,XU M N,,3,1,,,,,,,,8,,12
,,,4191,JAHANGARD E,,2,3,2,3,,,,,,11,,21
,,,4192,MARDIROSIAN R,32,9,3,,,1,,,,,1,,46
,,,4193,SASO M,2,1,,1,1,,,1,,,10,,16
,,MATH   54C,2721,CHAU E,,,,,,6,6,,,,15,,27
,,,2722,EDINGER G C,,,,,,12,8,,,,6,,26
,,,2723,YANKEY K A,,,,,,14,5,4,,,11,1,35
,,,2724,MCGRAW C K,,,,,,8,10,1,,,8,,27
,,,2725,ASADYAN A,,,,,,18,5,,,,8,,31
,,,2726,EDINGER G C,,,,,,12,8,,,,10,,30
,,,2727,BAYSSA B T,,,,,,12,11,,,,9,,32
,,,2728,VENDLINSKI T P,,,,,,11,16,,,,6,,33
,,,2729,TU W,,,,,,2,5,,,,19,,26
,,,2730,FOREMAN N J,,,,,,12,7,,,,13,,32
,,,2731,HANCOCK M D,,,,,,15,10,,,,7,,32
,,,2732,BASKAUSKAS V A,,,,,,10,4,,,,5,,19
,,,2733,HUANG C Y,,,,,,21,6,,,,7,,34
,,,2734,RAHMANI S,,,,,,27,3,,,,7,,37
,,,2735,DEAN C R,,,,,,20,8,,,,6,,34
,,,2736,DABAGH SA M,,,,,,22,10,,,,5,,37

,,,2737,LOPEZ MA,,,,,,8,10,,,,7,,25
,,,4194,SIMO A L,,,,,,6,6,,,,12,,24
,,,4196,JAHANGARD E,,,,,,5,9,,,,7,,21
,,,4197,HE F Y,,,,,,12,2,,,,11,1,26
,,,4198,XU M N,,,,,,4,,,,,8,,12
,,,4199,JAHANGARD E,,,,,,5,5,,,,11,,21
,,,4200,PACHAS-FLORES W,,,,,,4,8,,,,9,,21
,,,4201,MARTINEZ M G,,,,,,13,4,,,,7,,24
,,,4202,PEREZ R E,,,,,,28,3,,,,1,,32
,,,4203,ESMAEILI AK,,,,,,16,9,,,,4,,29
,,MATH   88A,2738,MCGRAW C K,1,,,,,,,,,,,,1
Modern Lang/Cul,ARABIC,ARABIC  1,1162,BEZRATI S,16,2,,2,4,,1,,,,6,1,32
,ASL,ASL      1,1240,COLE B M,25,6,1,1,1,,,,,,1,,35
,,,1241,LEWIS B J,11,9,3,1,3,,1,,,,6,,34
,,ASL      2,1242,DANA M,7,7,2,,6,,1,,,,4,,27
,CHNESE,CHNESE  1,1462,WU X,4,3,1,,2,1,,,,,5,,16
,,,1463,WU X,16,3,3,1,,,,,,,5,,28
,,CHNESE  2,4053,WU X,11,3,,,,1,,,,,2,,17
,FRENCH,FRENCH  1,2270,CHEVANT-AKSOY A,8,5,1,2,1,1,,,,,13,1,32
,,,2271,CHEVANT-AKSOY A,7,10,2,,3,2,,,,,7,,31
,,,2272,CHEVANT-AKSOY A,8,6,3,1,1,2,1,,,,11,,33
